supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x877B37D3E5467B4aAE7687Dd3480A46C8D3e16Be,1604184861,1661737168,0xf8ce78ae43664e38c90e8e5440c2e65110430e19,0x877b37d3e5467b4aae7687dd3480a46c8d3e16be,0x877b37d3e5467b4aae7687dd3480a46c8d3e16be,0x72a06bf2a1ce5e39cba06c0cab824960b587d64c,205,915,1084,0,100,0,58,0.9073170731707316
0xCEec5b68C0C241B4E97780F1C0A301F04a14F48F,1679576939,1682612375,0xa7efae728d2936e78bda97dc267687568dd593f3,0xceec5b68c0c241b4e97780f1c0a301f04a14f48f,0xceec5b68c0c241b4e97780f1c0a301f04a14f48f,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,31,42,30,0,43,0,4,0.9032258064516128
0x0000014ffa35ED6Ad0D5c9c079c908716c113EB8,1646546414,1669597703,0x0020623cbb268ed379b3b4e7d52d882a4bd5e2d4,0x0000014ffa35ed6ad0d5c9c079c908716c113eb8,0x0000014ffa35ed6ad0d5c9c079c908716c113eb8,0x54b743d6055e3bbbf13eb2c748a3783516156e5b,232,424,419,0,100,0,100,0.168103448275862
0x024D2cAc46b82D03BeC709a2f100028dC88834Bd,1661944350,1683187283,0x024d2cac46b82d03bec709a2f100028dc88834bd,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,0x024d2cac46b82d03bec709a2f100028dc88834bd,53,246,246,0,63,0,9,4.39622641509434
0x73165a7BF621F466C63F6A0c8F08e969772c2a6D,1510675767,1513539479,0x2b5634c42055806a59e9107ed44d43c426e58258,0x73165a7bf621f466c63f6a0c8f08e969772c2a6d,0x73165a7bf621f466c63f6a0c8f08e969772c2a6d,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1371,1997,2057,0,100,0,100,0.099927060539752
0xa7cfFf1D45BB13C5EBfc8Fa27435FDf644C1B025,1667754779,1682625755,0xa7efae728d2936e78bda97dc267687568dd593f3,0xa7cfff1d45bb13c5ebfc8fa27435fdf644c1b025,0xa7cfff1d45bb13c5ebfc8fa27435fdf644c1b025,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,11,179,0,0,16,0,0,15.363636363636363
0xEA9e8bd7B2dAb3134D64F73d1865e2E8fBBdE3bE,1623452528,1637742481,0x13711b99539d2860aa740c0180a50627d538c28e,0xea9e8bd7b2dab3134d64f73d1865e2e8fbbde3be,0xea9e8bd7b2dab3134d64f73d1865e2e8fbbde3be,0xe592427a0aece92de3edee1f18e0157c05861564,163,691,737,0,100,0,93,3.049079754601227
0xd892da7b80aea4a829aCF2F95f321c4cA62fb34e,1667684363,1682617427,0xa7efae728d2936e78bda97dc267687568dd593f3,0xd892da7b80aea4a829acf2f95f321c4ca62fb34e,0xd892da7b80aea4a829acf2f95f321c4ca62fb34e,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,25,180,0,0,34,0,0,6.72
0x65c2dcDB44A7a7C1ea90A5607F0888893dc1501e,1667687339,1682617547,0xa7efae728d2936e78bda97dc267687568dd593f3,0x65c2dcdb44a7a7c1ea90a5607f0888893dc1501e,0x65c2dcdb44a7a7c1ea90a5607f0888893dc1501e,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,15,180,0,0,22,0,0,11.2
0xa436898f5a446E1f7F22d0C9BB2457026E58E002,1667726855,1682621891,0xa7efae728d2936e78bda97dc267687568dd593f3,0xa436898f5a446e1f7f22d0c9bb2457026e58e002,0xa436898f5a446e1f7f22d0c9bb2457026e58e002,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,13,179,0,0,18,0,0,13.076923076923077
0xBa5c23089b963A87d5097B7E871163Cd935938E2,1664953427,1682838095,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xba5c23089b963a87d5097b7e871163cd935938e2,0xba5c23089b963a87d5097b7e871163cd935938e2,0xea8340aad746861900dd692f9dc1d9221ee6a16c,25,211,96,0,32,0,2,8.0
0xCEa1559320D7172D6c94e8138De2458a7aeBc5c6,1667726771,1682621735,0xa7efae728d2936e78bda97dc267687568dd593f3,0xcea1559320d7172d6c94e8138de2458a7aebc5c6,0xcea1559320d7172d6c94e8138de2458a7aebc5c6,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,10,179,0,0,15,0,0,16.9
0x07d94ADF04C3a4EB8632408f416De546f59C147D,1643299408,1651771224,0x07d94adf04c3a4eb8632408f416de546f59c147d,0x0000000031f7382a812c64b604da4fc520afef4b,0x07d94adf04c3a4eb8632408f416de546f59c147d,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,571,462,383,0,100,0,100,0.063047285464098
0x8D01bA30016c2ED9ABaecf5BfC3124eD5F848cCc,1665421007,1682617631,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x8d01ba30016c2ed9abaecf5bfc3124ed5f848ccc,0x8d01ba30016c2ed9abaecf5bfc3124ed5f848ccc,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,89,206,199,0,100,0,22,1.8876404494382024
0x425d84E63E623d0aD74d324710e5D0C53656CA7a,1616517322,1640433483,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x425d84e63e623d0ad74d324710e5d0c53656ca7a,0x425d84e63e623d0ad74d324710e5d0c53656ca7a,0x3b484b82567a09e2588a13d54d032153f0c0aee0,174,772,771,0,100,0,100,2.454022988505747
0x7334d88C2742456Fc3Db815C83047c5f8f19EbdA,1634240989,1655774154,0x5003b24e77c627c9fb1257e07fda637f0ffb6a83,0x7334d88c2742456fc3db815c83047c5f8f19ebda,0x7334d88c2742456fc3db815c83047c5f8f19ebda,0x00000000006c3852cbef3e08e8df289169ede581,140,567,568,0,100,0,57,2.1142857142857143
0x02FBBF9810d29CcC80Da2EaDFbDb8B786B154450,1667726699,1682617811,0xa7efae728d2936e78bda97dc267687568dd593f3,0x02fbbf9810d29ccc80da2eadfbdb8b786b154450,0x02fbbf9810d29ccc80da2eadfbdb8b786b154450,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,17,179,0,0,22,0,0,9.764705882352942
0x9CF3691B5af5D47F8962dDcBf0B58AD79789C328,1677424943,1682823371,0x28c6c06298d514db089934071355e5743bf21d60,0x9cf3691b5af5d47f8962ddcbf0b58ad79789c328,0x9cf3691b5af5d47f8962ddcbf0b58ad79789c328,0x80c67432656d59144ceff962e8faf8926599bcf8,24,67,0,0,34,0,0,2.25
0x907E660C6F9e7043f902933E79aa4bD986f6282A,1643898146,1682695475,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x907e660c6f9e7043f902933e79aa4bd986f6282a,0x907e660c6f9e7043f902933e79aa4bd986f6282a,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,75,455,159,0,93,0,7,5.626666666666667
0xD55fa8EFCE8D5614Ea62EEEE32E6060A1f845320,1648409210,1665912491,0x01f9b2b507db25f6868eaf1ec99481f057b5dfaf,0xd55fa8efce8d5614ea62eeee32e6060a1f845320,0xd55fa8efce8d5614ea62eeee32e6060a1f845320,0xa5bbe76a59138654322181d7c0e1c593d2b5be91,282,403,187,0,100,0,49,0.25177304964539
0xEa8340AAD746861900Dd692F9Dc1d9221EE6A16C,1664954231,1682838503,0x23de9979551e2497c3431ce76bac2791d2a9b79b,0xea8340aad746861900dd692f9dc1d9221ee6a16c,0xea8340aad746861900dd692f9dc1d9221ee6a16c,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,20,211,96,0,31,0,2,9.95
0x7232Ed17C725786221D58280c4f60188ad32341E,1667726759,1682620295,0xa7efae728d2936e78bda97dc267687568dd593f3,0x7232ed17c725786221d58280c4f60188ad32341e,0x7232ed17c725786221d58280c4f60188ad32341e,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,10,179,0,0,15,0,0,16.9
0x1c805f5376E2733b150bc494aAc8C89514fCf833,1667726699,1682618003,0xa7efae728d2936e78bda97dc267687568dd593f3,0x1c805f5376e2733b150bc494aac8c89514fcf833,0x1c805f5376e2733b150bc494aac8c89514fcf833,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,17,179,0,0,25,0,0,9.823529411764708
0xbdA40e094c22D677CcF6CD24ce0d796DE8c0E857,1667726747,1682620175,0xa7efae728d2936e78bda97dc267687568dd593f3,0xbda40e094c22d677ccf6cd24ce0d796de8c0e857,0xbda40e094c22d677ccf6cd24ce0d796de8c0e857,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,10,179,0,0,14,0,0,17.0
0x39338033DF3B80Ed5Fa78780bF4f4ba175f23b26,1631871060,1682758019,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0x39338033df3b80ed5fa78780bf4f4ba175f23b26,0x39338033df3b80ed5fa78780bf4f4ba175f23b26,0xaa40e2e5c8df03d792a52b5458959c320f86ca18,73,594,581,0,88,0,29,7.794520547945205
0x6f2Ec1486A66f2a08877cf7b06b79915b614117A,1679904995,1682838743,0x2abc22eb9a09ebbe7b41737ccde147f586efeb6a,0x6f2ec1486a66f2a08877cf7b06b79915b614117a,0x6f2ec1486a66f2a08877cf7b06b79915b614117a,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,11,38,0,0,13,0,0,2.8181818181818183
0xF66E602eE8C33300A2ee45E14c10B20872E97d45,1670065775,1682821691,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,0xf66e602ee8c33300a2ee45e14c10b20872e97d45,0xf66e602ee8c33300a2ee45e14c10b20872e97d45,0x50296fa66ea1486e3255f2f1f4a815a58f2a5fb2,50,152,118,0,59,0,9,2.54
0x35775A11BE0910b88C2e0372ABF34Ff92Ef83ff7,1630107077,1682693783,0x73165a7bf621f466c63f6a0c8f08e969772c2a6d,0x35775a11be0910b88c2e0372abf34ff92ef83ff7,0x35775a11be0910b88c2e0372abf34ff92ef83ff7,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,18,614,23,0,22,0,1,33.55555555555556
0x102f4d06b7E9d688B2ed3B52020fC52BF70d80E1,1667726711,1682619503,0xa7efae728d2936e78bda97dc267687568dd593f3,0x102f4d06b7e9d688b2ed3b52020fc52bf70d80e1,0x102f4d06b7e9d688b2ed3b52020fc52bf70d80e1,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,10,179,0,0,15,0,0,16.9
0xEBbA481d200d4747a3dA46ff382337Ce31A17381,1615969195,1682662739,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xebba481d200d4747a3da46ff382337ce31a17381,0xebba481d200d4747a3da46ff382337ce31a17381,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,52,778,778,0,62,0,48,14.576923076923077
0xC723CEa61383082f0b4f1bBb17e8988CCaE921c2,1640243820,1682662799,0x57911c39834fc95c73441fb23437169b091ec7ed,0xc723cea61383082f0b4f1bbb17e8988ccae921c2,0xc723cea61383082f0b4f1bbb17e8988ccae921c2,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,31,497,490,0,38,0,21,15.516129032258064
0xf5FEd9E5175668647D880eB084A63c4041dD5E1C,1638978041,1671980123,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xf5fed9e5175668647d880eb084a63c4041dd5e1c,0xf5fed9e5175668647d880eb084a63c4041dd5e1c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,137,512,501,0,100,0,100,1.2992700729927007
